ctr,country,pdi,idv,mas,uai,ltowvs,ivr,country1,ctr1,cluster,pca1,pca2
ARG,Argentina,49.0,46.0,56.0,86.0,20.0,62.0,Argentina,ARG,3,0.5378773738182243,1.3992925935494593
AUL,Australia,38.0,90.0,61.0,51.0,21.0,71.0,,AUS,2,2.4871824039518535,0.5861109367310658
AUT,Austria,11.0,55.0,79.0,70.0,60.0,63.0,Austria,AUT,1,1.6994864973512003,-0.35332119645690496
BAN,Bangladesh,80.0,20.0,55.0,60.0,47.0,20.0,,BGD,4,-1.7167075435138943,-0.08202316342685352
BEL,Belgium,65.0,75.0,54.0,94.0,82.0,57.0,Belgium,BEL,1,0.055203433724773585,-0.9265592111595743
BRA,Brazil,69.0,38.0,49.0,76.0,44.0,59.0,Brazil,BRA,3,-0.3602443993349356,0.7310834177443436
BUL,Bulgaria,70.0,30.0,40.0,85.0,69.0,16.0,,BGR,4,-1.6740603897737352,-0.9693516162038266
CAN,Canada,39.0,80.0,52.0,48.0,36.0,68.0,Canada,CAN,2,2.1132100439226047,0.11944081005590455
CHL,Chile,63.0,23.0,28.0,86.0,31.0,68.0,Chile,CHL,3,-0.295364386563479,1.5254687721161981
CHI,China,80.0,20.0,66.0,30.0,87.0,24.0,,CHN,4,-1.644631687843306,-1.470592360016982
COL,Colombia,67.0,13.0,64.0,80.0,13.0,83.0,Colombia,COL,3,-0.2963363199218877,2.75660607412665
CRO,Croatia,73.0,33.0,40.0,80.0,58.0,33.0,,HRV,4,-1.2203512625349588,-0.25711711986598207
CZE,Czech Rep,57.0,58.0,57.0,74.0,70.0,29.0,Czechia,CZE,1,-0.30992771643585193,-1.215483829320081
DEN,Denmark,18.0,74.0,16.0,23.0,35.0,70.0,,DNK,2,3.1036696575021274,-0.265892769843705
SAL,El Salvador,66.0,19.0,40.0,94.0,20.0,89.0,,SLV,3,-0.13928243648490124,2.599626500660658
EST,Estonia,40.0,60.0,30.0,60.0,82.0,16.0,Estonia,EST,2,0.18854858000686123,-2.334331530452811
FIN,Finland,33.0,63.0,26.0,59.0,38.0,57.0,Finland,FIN,2,1.636794725872994,-0.044407564577615195
FRA,France,68.0,71.0,43.0,86.0,63.0,48.0,France,FRA,1,-0.005521201910509066,-0.5725332520710315
GER,Germany,35.0,67.0,66.0,65.0,83.0,40.0,,DEU,1,0.747542742751374,-1.7188961088247006
GBR,Great Britain,35.0,89.0,66.0,35.0,51.0,69.0,United Kingdom,GER,2,2.447357640564406,-0.5495324962291037
GRE,Greece,60.0,35.0,57.0,112.0,45.0,50.0,,GRC,3,-0.8090529877178353,0.7819662429934302
HOK,Hong Kong,68.0,25.0,57.0,29.0,61.0,17.0,,HKG,4,-1.0351728292949072,-1.035272998985142
HUN,Hungary,46.0,80.0,88.0,82.0,58.0,31.0,Hungary,HUN,1,0.45908752320669244,-0.990730887084178
IND,India,77.0,48.0,56.0,40.0,51.0,26.0,India,IND,4,-0.6384333028103397,-0.6557555649443569
IDO,Indonesia,78.0,14.0,46.0,48.0,62.0,38.0,,IDN,4,-1.395918461041066,-0.19069943999509661
IRA,Iran,58.0,41.0,43.0,59.0,14.0,40.0,,IRN,4,0.15854925716059304,0.9132148556287035
IRE,Ireland,28.0,70.0,68.0,35.0,24.0,65.0,,IRL,2,2.342541390994076,0.43665798848243603
ITA,Italy,50.0,76.0,70.0,75.0,61.0,30.0,Italy,ITA,1,0.35764846782251813,-1.1570629790493068
JPN,Japan,54.0,46.0,95.0,92.0,88.0,42.0,Japan,JPN,1,-0.7771686551201612,-1.0062929709433814
KOR,Korea South,60.0,18.0,39.0,85.0,100.0,29.0,"Korea, Republic of",KOR,4,-1.6571616754599954,-1.5605918499341844
LAT,Latvia,44.0,70.0,9.0,63.0,69.0,13.0,,LVA,2,0.4024747823873447,-2.1670085331341813
LIT,Lithuania,42.0,60.0,19.0,65.0,82.0,16.0,,LTU,2,0.11165377073967014,-2.3224519032323214
LUX,Luxembourg,40.0,60.0,50.0,70.0,64.0,56.0,Luxembourg,LUX,1,0.8917508037635302,-0.5991117952819347
MAL,Malaysia,104.0,26.0,50.0,36.0,41.0,57.0,,MYS,4,-1.2368681122797491,0.9208048612980368
MLT,Malta,56.0,59.0,47.0,96.0,47.0,66.0,Malta,MLT,3,0.40650325184639247,0.553570070190061
MEX,Mexico,81.0,30.0,69.0,82.0,24.0,97.0,Mexico,MEX,3,-0.18409944103579218,2.666780224340008
MOR,Morocco,70.0,46.0,53.0,68.0,14.0,25.0,,MAR,4,-0.5214018749154291,0.6962856313901721
NET,Netherlands,38.0,80.0,14.0,53.0,67.0,68.0,,NLD,2,1.985080335481476,-1.005294362006058
NZL,New Zealand,22.0,79.0,58.0,49.0,33.0,75.0,New Zealand,NZL,2,2.7254649065004903,0.28868040231458886
NOR,Norway,31.0,69.0,8.0,50.0,35.0,55.0,Norway,NOR,2,2.009215776062595,-0.2563091655203347
PAK,Pakistan,55.0,14.0,50.0,70.0,50.0,0.0,Pakistan,PAK,4,-1.607723471372209,-0.7406640482542234
PER,Peru,64.0,16.0,42.0,87.0,25.0,46.0,Peru,PER,3,-0.9305171929994649,1.353744826483184
PHI,Philippines,94.0,32.0,64.0,44.0,27.0,42.0,,PHL,4,-1.1166502404031782,0.9545062143667558
POL,Poland,68.0,60.0,64.0,93.0,38.0,29.0,Poland,POL,1,-0.5957671103902311,0.06825145360699991
POR,Portugal,63.0,27.0,31.0,104.0,28.0,33.0,,PRT,3,-1.072332402841015,0.8665597697297702
ROM,Romania,90.0,30.0,42.0,90.0,52.0,20.0,,ROU,4,-2.1351854055010597,-0.10048687877544206
RUS,Russia,93.0,39.0,36.0,95.0,81.0,20.0,Russian Federation,RUS,4,-2.2840069190723566,-1.1157587217687288
SER,Serbia,86.0,25.0,43.0,92.0,52.0,28.0,,SRB,4,-2.0093443772852972,0.1550512758766807
SIN,Singapore,74.0,20.0,48.0,8.0,72.0,46.0,,SGP,4,-0.5819053111727651,-0.7653806162604689
SLK,Slovak Rep,104.0,52.0,110.0,51.0,77.0,28.0,,SVK,4,-1.887784028580752,-0.9312421368887657
SLV,Slovenia,71.0,27.0,19.0,88.0,49.0,48.0,El Salvador,SVN,3,-0.9566630875198618,0.44594296558911883
SPA,Spain,57.0,51.0,42.0,86.0,48.0,44.0,,ESP,3,-0.09816871407864694,-0.0042281692393637245
SWE,Sweden,31.0,71.0,5.0,29.0,53.0,78.0,Sweden,SWE,2,2.6156883810231615,-0.4852877640833158
SWI,Switzerland,34.0,68.0,70.0,58.0,74.0,66.0,,CHE,1,1.4377949228991123,-0.8544183888769337
THA,Thailand,64.0,20.0,34.0,64.0,32.0,45.0,Thailand,THA,3,-0.5985046992595152,0.8173861028568866
TRI,Trinidad and Tobago,47.0,16.0,58.0,55.0,13.0,80.0,,TTO,3,0.653103313871398,2.226401460378475
TUR,Turkey,66.0,37.0,45.0,85.0,46.0,49.0,TÃ¼rkiye,TUR,3,-0.5927847426717774,0.467436282812564
USA,U.S.A.,40.0,91.0,62.0,46.0,26.0,68.0,United States,USA,2,2.4096200237225736,0.31706923236760054
URU,Uruguay,61.0,36.0,38.0,100.0,26.0,53.0,,URY,3,-0.38099145982807864,1.2738543093208097
VEN,Venezuela,81.0,12.0,73.0,76.0,16.0,100.0,"Venezuela, Bolivarian Republic of",VEN,3,-0.43355428940799584,3.2219446891082395
VIE,Vietnam,70.0,20.0,40.0,30.0,57.0,35.0,,VNM,4,-0.7834618705711048,-0.43964657141190583
